ApartmentID,Timestamp,Component,Building,Floor,Unit,LocX,LocY,LocZ,RotPitch,RotYaw,RotRoll,RotXMax,RotXMin,RotYMax,RotYMin,PerpendicularAngleDeg
2-08-803,2026.09.21-11.35.52:770,ViewCameraComponent803_2,2,08,803,-7791.710,-1369.006,16680.000,0.000000,167.279433,-0.000000,80.0,-80.0,40.0,-90.0,141.0
2-08-802,2026.09.21-11.35.52:771,ViewCameraComponent802_1,2,08,802,-5175.346,-1677.770,16680.000,-0.000000,-14.560479,0.000000,80.0,-80.0,40.0,-90.0,321.0
2-09-901,2026.09.21-11.35.52:781,ViewCameraComponent901_0,2,09,901,-8695.776,-2460.793,17080.000,0.000000,139.387020,-0.000000,80.0,-80.0,40.0,-90.0,141.0
2-09-901,2026.09.21-11.35.52:781,ViewCameraComponent901_1,2,09,901,-8288.553,-3762.757,17080.000,-0.000000,-86.192043,0.000000,80.0,-80.0,40.0,-90.0,231.0
2-09-901,2026.09.21-11.35.52:781,ViewCameraComponent901_2,2,09,901,-6659.158,-3507.626,17080.000,-0.000000,-40.812853,0.000000,80.0,-80.0,40.0,-90.0,321.0
2-09-902,2026.09.21-11.35.52:781,ViewCameraComponent902_0,2,09,902,-5756.859,-2417.584,17080.000,-0.000000,-40.812853,0.000000,80.0,-80.0,40.0,-90.0,321.0
2-09-902,2026.09.21-11.35.52:781,ViewCameraComponent902_1,2,09,902,-5834.689,-734.167,17080.000,0.000000,47.778526,-0.000000,70.0,-50.0,40.0,-90.0,51.0
2-09-902,2026.09.21-11.35.52:781,ViewCameraComponent902_2,2,09,902,-6912.836,-305.993,17080.000,0.000000,87.293789,-0.000000,80.0,-80.0,40.0,-90.0,141.0
2-10-1001,2026.09.21-11.35.52:787,ViewCameraComponent1001_0,2,10,1001,-8684.172,-2476.326,17480.000,0.000000,139.387020,-0.000000,80.0,-80.0,40.0,-90.0,141.0
2-10-1001,2026.09.21-11.35.52:787,ViewCameraComponent1001_1,2,10,1001,-8248.903,-3824.337,17480.000,-0.000000,-81.458669,0.000000,40.0,-80.0,40.0,-90.0,261.0
2-10-1001,2026.09.21-11.35.52:787,ViewCameraComponent1001_2,2,10,1001,-6666.211,-3492.998,17480.000,-0.000000,-40.812853,0.000000,80.0,-80.0,40.0,-90.0,321.0
2-10-1002,2026.09.21-11.35.52:787,ViewCameraComponent1002_0,2,10,1002,-5756.859,-2417.584,17480.000,-0.000000,-40.812853,0.000000,80.0,-80.0,40.0,-90.0,321.0
2-10-1002,2026.09.21-11.35.52:787,ViewCameraComponent1002_1,2,10,1002,-5685.695,-902.797,17480.000,0.000000,47.778526,-0.000000,50.0,-70.0,40.0,-90.0,51.0
2-10-1002,2026.09.21-11.35.52:787,ViewCameraComponent1002_2,2,10,1002,-6620.399,-71.020,17480.000,0.000000,85.609553,-0.000000,80.0,-80.0,40.0,-90.0,86.0
2-10-1002,2026.09.21-11.35.52:787,ViewCameraComponent1002_3,2,10,1002,-7495.458,-995.145,17480.000,-0.000000,-179.615262,0.000000,80.0,-80.0,40.0,-90.0,141.0
1-05-501,2026.09.21-11.35.52:794,ViewCameraComponent501_1,1,05,501,-11267.435,1269.233,15470.000,0.000000,179.764580,-0.000000,80.0,-80.0,40.0,-90.0,186.0
1-05-501,2026.09.21-11.35.52:794,ViewCameraComponent501_2,1,05,501,-10295.573,357.652,15469.979,-0.000000,-161.068801,0.000000,50.0,-80.0,40.0,-90.0,261.0
1-05-501,2026.09.21-11.35.52:794,ViewCameraComponent501_3,1,05,501,-9113.187,-476.527,15470.000,-0.000000,-95.194434,0.000000,80.0,-80.0,40.0,-90.0,276.0
1-05-502,2026.09.21-11.35.52:794,ViewCameraComponent502_2,1,05,502,-7955.610,2401.540,15470.000,0.000000,86.321836,-0.000000,80.0,-80.0,40.0,-90.0,51.0
1-05-503,2026.09.21-11.35.52:794,ViewCameraComponent503_0,1,05,503,-8683.955,2999.019,15470.000,0.000000,29.475789,-0.000000,80.0,-80.0,40.0,-90.0,51.0
1-05-503,2026.09.21-11.35.52:794,ViewCameraComponent503_1,1,05,503,-9519.951,3422.491,15470.000,0.000000,110.453457,-0.000000,80.0,-80.0,40.0,-90.0,96.0
1-05-503,2026.09.21-11.35.52:794,ViewCameraComponent503_2,1,05,503,-10403.008,2645.825,15470.000,0.000000,133.679625,-0.000000,80.0,-80.0,40.0,-90.0,141.0
1-05-502,2026.09.21-11.35.52:795,ViewCameraComponent502_0,1,05,502,-7878.165,855.627,15470.000,-0.000000,-2.668402,0.000000,50.0,-80.0,40.0,-90.0,-9.0
1-05-502,2026.09.21-11.35.52:795,ViewCameraComponent502_1,1,05,502,-7366.344,1683.803,15470.000,0.000000,38.674064,-0.000000,80.0,-80.0,40.0,-90.0,6.0
1-05-501,2026.09.21-11.35.52:795,ViewCameraComponent501_0,1,05,501,-10996.189,1913.198,15470.000,0.000000,125.631541,-0.000000,80.0,-80.0,40.0,-90.0,141.0
1-07-701,2026.09.21-11.35.52:804,ViewCameraComponent701_0,1,07,701,-10995.473,1912.541,16270.000,0.000000,133.336464,-0.000000,80.0,-80.0,40.0,-90.0,141.0
1-07-701,2026.09.21-11.35.52:805,ViewCameraComponent701_1,1,07,701,-11267.435,1269.233,16270.000,-0.000000,-164.855825,0.000000,80.0,-80.0,40.0,-90.0,186.0
1-07-701,2026.09.21-11.35.52:805,ViewCameraComponent701_2,1,07,701,-10149.313,256.618,16270.000,-0.000000,-128.936857,0.000000,70.0,-70.0,40.0,-90.0,231.0
1-07-702,2026.09.21-11.35.52:805,ViewCameraComponent702_1,1,07,702,-7370.487,1683.399,16270.000,0.000000,30.455579,-0.000000,80.0,-80.0,40.0,-90.0,6.0
1-07-702,2026.09.21-11.35.52:805,ViewCameraComponent702_2,1,07,702,-7946.102,2396.918,16270.000,0.000000,74.075215,-0.000000,80.0,-80.0,40.0,-90.0,51.0
1-07-703,2026.09.21-11.35.52:805,ViewCameraComponent703_0,1,07,703,-8683.955,2999.019,16270.000,0.000000,29.903377,-0.000000,80.0,-80.0,40.0,-90.0,51.0
1-07-703,2026.09.21-11.35.52:805,ViewCameraComponent703_1,1,07,703,-9519.951,3422.491,16270.000,0.000000,114.043424,-0.000000,80.0,-80.0,40.0,-90.0,96.0
1-07-703,2026.09.21-11.35.52:805,ViewCameraComponent703_2,1,07,703,-10403.008,2645.825,16270.000,0.000000,130.369957,-0.000000,80.0,-80.0,40.0,-90.0,141.0
1-07-701,2026.09.21-11.35.52:805,ViewCameraComponent701_4,1,07,701,-8173.933,489.613,16270.000,0.000000,12.150014,-0.000000,50.0,-80.0,40.0,-90.0,-9.0
